,dataset,id,covered,total_covered,total_fraction
0,fico,1,0,0,0.0
1,fico,2,312,312,0.2765957446808511
2,fico,3,460,772,0.6843971631205674
3,fico,4,1,773,0.6852836879432624
4,fico,5,1,774,0.6861702127659575
5,fico,6,0,774,0.6861702127659575
6,fico,7,0,774,0.6861702127659575
7,fico,8,0,774,0.6861702127659575
8,fico,9,0,774,0.6861702127659575
9,fico,10,0,774,0.6861702127659575
10,fico,11,0,774,0.6861702127659575
11,fico,12,0,774,0.6861702127659575
12,fico,13,0,774,0.6861702127659575
13,fico,14,0,774,0.6861702127659575
14,fico,15,0,774,0.6861702127659575
15,fico,16,0,774,0.6861702127659575
16,fico,17,0,774,0.6861702127659575
17,fico,18,4,778,0.6897163120567376
18,fico,19,11,789,0.699468085106383
19,fico,20,7,796,0.7056737588652482
20,fico,21,11,807,0.7154255319148937
21,fico,22,10,817,0.724290780141844
22,fico,23,0,817,0.724290780141844
23,fico,24,0,817,0.724290780141844
24,fico,25,0,817,0.724290780141844
25,fico,26,0,817,0.724290780141844
26,fico,27,0,817,0.724290780141844
27,fico,28,0,817,0.724290780141844
28,fico,29,0,817,0.724290780141844
29,fico,30,0,817,0.724290780141844
30,german,1,0,0,0.0
31,german,2,1,1,0.0625
32,german,3,6,7,0.4375
33,german,4,0,7,0.4375
34,german,5,0,7,0.4375
35,german,6,0,7,0.4375
36,german,7,0,7,0.4375
37,german,8,0,7,0.4375
38,german,9,1,8,0.5
39,german,10,0,8,0.5
40,german,11,0,8,0.5
41,german,12,0,8,0.5
42,german,13,0,8,0.5
43,german,14,0,8,0.5
44,german,15,0,8,0.5
45,german,16,0,8,0.5
46,german,17,0,8,0.5
47,german,18,0,8,0.5
48,german,19,0,8,0.5
49,german,20,0,8,0.5
50,german,21,0,8,0.5
51,german,22,0,8,0.5
52,german,23,0,8,0.5
53,german,24,0,8,0.5
54,german,25,4,12,0.75
55,german,26,0,12,0.75
56,german,27,0,12,0.75
57,german,28,0,12,0.75
58,german,29,0,12,0.75
59,german,30,0,12,0.75
60,givemecredit,1,297,297,0.06024340770791075
61,givemecredit,2,78,375,0.07606490872210954
62,givemecredit,3,0,375,0.07606490872210954
63,givemecredit,4,936,1311,0.2659229208924949
64,givemecredit,5,0,1311,0.2659229208924949
65,givemecredit,6,0,1311,0.2659229208924949
66,givemecredit,7,0,1311,0.2659229208924949
67,givemecredit,8,0,1311,0.2659229208924949
68,givemecredit,9,0,1311,0.2659229208924949
69,givemecredit,10,1935,3246,0.6584178498985801
70,givemecredit,11,0,3246,0.6584178498985801
71,givemecredit,12,421,3667,0.7438133874239351
72,givemecredit,13,0,3667,0.7438133874239351
73,givemecredit,14,0,3667,0.7438133874239351
74,givemecredit,15,0,3667,0.7438133874239351
75,givemecredit,16,10,3677,0.745841784989858
76,givemecredit,17,0,3677,0.745841784989858
77,givemecredit,18,0,3677,0.745841784989858
78,givemecredit,19,0,3677,0.745841784989858
79,givemecredit,20,0,3677,0.745841784989858
80,givemecredit,21,14,3691,0.7486815415821501
81,givemecredit,22,0,3691,0.7486815415821501
82,givemecredit,23,0,3691,0.7486815415821501
83,givemecredit,24,0,3691,0.7486815415821501
84,givemecredit,25,0,3691,0.7486815415821501
85,givemecredit,26,0,3691,0.7486815415821501
86,givemecredit,27,0,3691,0.7486815415821501
87,givemecredit,28,0,3691,0.7486815415821501
88,givemecredit,29,0,3691,0.7486815415821501
89,givemecredit,30,0,3691,0.7486815415821501
90,fico,0,0,0,0.0
91,german,0,0,0,0.0
92,givemecredit,0,0,0,0.0
