id_for_x,ctf_id,a,found_a,abstains,certifies_infeasibility,exec_time
0,1,"[array(0.), array(0.), array(-2.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(-4.), array(79.), array(-6.), array(-5.), array(0.)]",True,False,False,0.05550500000000003
1,1,"[array(0.), array(0.), array(-6.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-17.), array(64.), array(-8.), array(-7.), array(-1.)]",True,False,False,0.005485999999999991
2,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
3,1,"[array(0.), array(0.), array(10.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-15.), array(-17.), array(-9.), array(-6.), array(-1.)]",True,False,False,0.003210000000000046
4,1,"[array(0.), array(0.), array(13.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-15.), array(-11.), array(-7.), array(-8.), array(-1.)]",True,False,False,0.003110999999999975
5,1,"[array(0.), array(0.), array(-5.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-8.), array(67.), array(-4.), array(-2.), array(-1.)]",True,False,False,0.003039000000000014
6,1,"[array(0.), array(0.), array(-3.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(0.), array(0.), array(4.), array(71.), array(-8.), array(-3.), array(0.)]",True,False,False,0.00300200000000006
7,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
8,1,"[array(0.), array(0.), array(9.), array(0.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-3.), array(-12.), array(-6.), array(-8.), array(-1.)]",True,False,False,0.0030049999999999244
9,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
10,1,"[array(0.), array(0.), array(-6.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-13.), array(54.), array(-8.), array(-7.), array(-1.)]",True,False,False,0.003022999999999998
11,1,"[array(0.), array(0.), array(8.), array(0.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-5.), array(-10.), array(-6.), array(-6.), array(0.)]",True,False,False,0.0029639999999999667
12,1,"[array(0.), array(0.), array(-5.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(0.), array(0.), array(-12.), array(76.), array(-9.), array(-2.), array(0.)]",True,False,False,0.00295499999999993
13,1,"[array(0.), array(0.), array(-2.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(-4.), array(71.), array(-8.), array(-3.), array(0.)]",True,False,False,0.002987000000000073
14,1,"[array(0.), array(0.), array(10.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(1.), array(1.), array(-15.), array(-16.), array(-8.), array(-4.), array(-1.)]",True,False,False,0.002974000000000032
15,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,False,False,0.0
16,1,"[array(0.), array(0.), array(-4.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(-1.), array(-1.), array(-1.), array(-8.), array(31.), array(-4.), array(-4.), array(-1.)]",True,False,False,0.003047000000000022
17,1,"[array(0.), array(0.), array(-4.), array(-1.), array(-1.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.), array(0.), array(0.), array(5.), array(69.), array(-7.), array(-1.), array(0.)]",True,False,False,0.002979000000000065
