region_idx,a,found_x,certifies_recourse,certifies_robustness,exec_time
0,,,True,False,0.07245799999999991
1,,,False,True,0.007129000000000052
2,,,True,False,0.007043999999999939
3,,,False,True,0.0066349999999999465
4,,,False,True,0.007597999999999994
5,,,False,False,0.007975000000000065
6,,,False,True,0.00684399999999985
7,,,False,False,0.006885999999999948
8,,,False,False,0.006728999999999985
9,,,True,False,0.007592000000000043
10,,,False,False,0.007449000000000039
11,,,False,False,0.006693999999999978
12,,,False,False,0.006607999999999947
13,,,False,False,0.00661299999999998
14,,,False,True,0.006476999999999844
15,,,False,False,0.006653999999999938
16,,,False,True,0.006456000000000017
17,,,False,False,0.006762000000000157
18,,,False,False,0.006642000000000037
19,,,False,False,0.0067270000000001495
20,,,False,False,0.006638000000000144
21,,,False,False,0.006667999999999896
22,,,False,False,0.00703699999999996
23,,,False,True,0.006629999999999914
24,,,False,True,0.0069509999999999295
25,,,True,False,0.006938000000000111
26,,,False,True,0.006413000000000002
27,,,False,False,0.006629999999999914
28,,,True,False,0.006845999999999908
29,,,False,True,0.0063950000000001506
30,,,False,True,0.0064349999999999685
31,,,False,True,0.00649999999999995
32,,,False,True,0.006442000000000059
33,,,False,False,0.0066350000000001685
34,,,False,False,0.007124999999999826
35,,,False,True,0.0063829999999998055
36,,,False,True,0.0063590000000000035
37,,,False,False,0.0066070000000000295
38,,,False,False,0.006672999999999929
39,,,False,True,0.007422999999999957
40,,,False,True,0.006637000000000004
41,,,False,True,0.0065510000000001956
42,,,False,False,0.0067330000000001
43,,,False,False,0.006740999999999886
44,,,False,False,0.0067069999999997965
45,,,False,True,0.006485999999999992
46,,,False,False,0.007142999999999899
47,,,False,False,0.03720699999999999
